sku	price	quantity	leadtime-to-ship
9971227-BLACK-40/6.7	119.89	0	1
9971242-BLACK-40/6.7	119.89	0	1
9971227-BLACK-47/11.8	119.89	0	1
9971244-BLACK-41/8.5	99.89	0	1
9970022-BLACK-45.5/11.5	249.99	0	1
9970169-BLACK-45/11	299.95	0	1
9970169-BLACK-45.5/11.5	299.95	0	1
9970169-BLACK-46/12	299.95	0	1
9970169-WHITE-BLACK-39/5	299.95	0	1
9970169-WHITE-BLACK-39.5/5.5	299.95	0	1
9970169-WHITE-BLACK-40/6	299.95	0	1
9970169-WHITE-BLACK-40.5/6.5	299.95	0	1
9970169-WHITE-BLACK-41/7	299.95	0	1
9970169-WHITE-BLACK-41.5/7.5	299.95	0	1
9970169-WHITE-BLACK-42/8	299.95	0	1
9970169-WHITE-BLACK-42.5/8.5	299.95	0	1
9970169-WHITE-BLACK-43/9	299.95	0	1
9970169-WHITE-BLACK-43.5/9.5	299.95	0	1
9970169-WHITE-BLACK-44/10	299.95	0	1
9970169-WHITE-BLACK-44.5/10.5	299.95	0	1
9970169-WHITE-BLACK-45.5/11.5	299.95	0	1
9970169-WHITE-BLACK-46/12	299.95	0	1
9970169-WHITE-BLACK-46.5/12.5	299.95	0	1
9970169-WHITE-BLACK-47/13	299.95	0	1
9970169-WHITE-BLACK-48/13.5	299.95	0	1
9970169-WHITE-BLACK-50/15	299.95	0	1
9970177-BLACK	29.99	0	
9970177-RED	29.99	0	
9970177-ORANGE	29.99	0	
9970177-GREEN	29.99	0	
9970290-BRIGHT-RED-BLK-SM-51-55CM	107.95	0	1
9970290-MTT-WHITE-BLACK-SM-51-55CM	107.95	0	1
9970290-MT-VERMILLION-SM-51-55CM	107.95	0	1
9970295-LESS-CARS-L-XL	9.85	0	1
9970297-PURP-PORCUPINE-S-M	9.85	0	1
9970300-BLK-THIS-GUY-S-M	9.85	0	1
9970300-BLK-THIS-GUY-L-XL	9.85	0	1
9970304-BLK-LGHTNG-BLUE-15-LITER	130	0	1
9970305-BLACK-BLUE-4-LITER	69.99	0	1
9970305-BLACK-YELLOW-4-LITER	69.99	0	1
9970307-CHARCOAL-GREEN-10-LITER	100	0	1
9970442-BLACK-SILVER-39	299.99	0	1
9970442-BLACK-SILVER-39.5	299.99	0	1
9970442-BLACK-SILVER-40	299.99	0	1
9970442-BLACK-SILVER-40.5	299.99	0	1
9970442-BLACK-SILVER-41	299.99	0	1
9970442-BLACK-SILVER-41.5	299.99	0	1
9970442-BLACK-SILVER-42	299.99	0	1
9970442-BLACK-SILVER-42.5	299.99	0	1
9970442-BLACK-SILVER-43	299.99	0	1
9970442-BLACK-SILVER-43.5	299.99	0	1
9970442-BLACK-SILVER-44	299.99	0	1
9970442-BLACK-SILVER-44.5	299.99	0	1
9970442-BLACK-SILVER-45	299.99	0	1
9970442-BLACK-SILVER-45.5	299.99	0	1
9970442-BLACK-SILVER-46	299.99	0	1
9970442-BLACK-SILVER-46.5	299.99	0	1
9970442-BLACK-SILVER-47	299.99	0	1
9970442-BLACK-SILVER-50	299.99	0	1
9970464-BLACK-SILVER-39	289.99	0	1
9970464-BLACK-SILVER-39.5	289.99	0	1
9970464-BLACK-SILVER-40	289.99	0	1
9970464-BLACK-SILVER-40.5	289.99	0	1
9970464-BLACK-SILVER-41	289.99	0	1
9970464-BLACK-SILVER-41.5	289.99	0	1
9970464-BLACK-SILVER-42	289.99	0	1
9970464-BLACK-SILVER-42.5	289.99	0	1
9970464-BLACK-SILVER-43	289.99	0	1
9970464-BLACK-SILVER-43.5	289.99	0	1
9970464-BLACK-SILVER-44	289.99	0	1
9970464-BLACK-SILVER-44.5	289.99	0	1
9970464-BLACK-SILVER-45	289.99	0	1
